"Timestamp","320.005-SB401_R_Tl_Etl","320.005-RT503_Tl_Etl"
"23/02/2022 22:00:00","60,000","41,930"
"23/02/2022 21:59:00","60,000","41,930"
"23/02/2022 21:58:00","60,000","41,930"
"23/02/2022 21:57:00","60,000","41,940"
"23/02/2022 21:56:00","60,000","41,950"
"23/02/2022 21:55:00","60,000","41,960"
"23/02/2022 21:54:00","60,000","41,950"
"23/02/2022 21:53:00","60,000","41,960"
"23/02/2022 21:52:00","60,000","41,970"
"23/02/2022 21:51:00","60,000","41,980"
"23/02/2022 21:50:00","60,000","41,990"
"23/02/2022 21:49:00","60,000","42,000"
"23/02/2022 21:48:00","60,000","42,020"
"23/02/2022 21:47:00","60,000","42,030"
"23/02/2022 21:46:00","60,000","42,040"
"23/02/2022 21:45:00","60,000","42,040"
"23/02/2022 21:44:00","60,000","42,060"
"23/02/2022 21:43:00","60,000","42,070"
"23/02/2022 21:42:00","60,000","42,080"
"23/02/2022 21:41:00","60,000","42,100"
"23/02/2022 21:40:00","60,000","42,110"
"23/02/2022 21:39:00","60,000","42,110"
"23/02/2022 21:38:00","60,000","42,110"
"23/02/2022 21:37:00","60,000","42,110"
"23/02/2022 21:36:00","60,000","42,110"
"23/02/2022 21:35:00","60,000","42,120"
"23/02/2022 21:34:00","60,000","42,110"
"23/02/2022 21:33:00","60,000","42,100"
"23/02/2022 21:32:00","60,000","42,100"
"23/02/2022 21:31:00","60,000","42,090"
"23/02/2022 21:30:00","60,000","42,080"
"23/02/2022 21:29:00","60,000","42,080"
"23/02/2022 21:28:00","60,000","42,070"
"23/02/2022 21:27:00","60,000","42,060"
"23/02/2022 21:26:00","60,000","42,050"
"23/02/2022 21:25:00","60,000","42,030"
"23/02/2022 21:24:00","60,000","42,030"
"23/02/2022 21:23:00","60,000","42,010"
"23/02/2022 21:22:00","60,000","42,010"
"23/02/2022 21:21:00","60,000","41,980"
"23/02/2022 21:20:00","60,000","41,980"
"23/02/2022 21:19:00","60,000","41,970"
"23/02/2022 21:18:00","60,000","41,960"
"23/02/2022 21:17:00","60,000","41,930"
"23/02/2022 21:16:00","60,000","41,930"
"23/02/2022 21:15:00","60,000","41,920"
"23/02/2022 21:14:00","60,000","41,900"
"23/02/2022 21:13:00","60,000","41,880"
"23/02/2022 21:12:00","60,000","41,870"
"23/02/2022 21:11:00","60,000","41,850"
"23/02/2022 21:10:00","60,000","41,830"
"23/02/2022 21:09:00","60,000","41,820"
